threshold,window_s,budget_weight,fpr,fnr,f1
5,120,0.2,0.0,1.0,0
5,120,0.5,0.0,1.0,0
5,120,0.8,0.0,1.0,0
6,10,0.0,0.0,1.0,0
6,10,0.2,0.0,1.0,0
6,10,0.5,0.0,1.0,0
6,10,0.8,0.0,1.0,0
6,20,0.0,0.0,1.0,0
6,20,0.2,0.0,1.0,0
6,20,0.5,0.0,1.0,0
6,20,0.8,0.0,1.0,0
6,30,0.0,0.0,1.0,0
6,30,0.2,0.0,1.0,0
6,30,0.5,0.0,1.0,0
6,30,0.8,0.0,1.0,0
6,60,0.0,0.0,1.0,0
6,60,0.2,0.0,1.0,0
6,60,0.5,0.0,1.0,0
6,60,0.8,0.0,1.0,0
6,120,0.0,0.0,1.0,0
6,120,0.2,0.0,1.0,0
6,120,0.5,0.0,1.0,0
6,120,0.8,0.0,1.0,0
7,10,0.0,0.0,1.0,0
7,10,0.2,0.0,1.0,0
7,10,0.5,0.0,1.0,0
7,10,0.8,0.0,1.0,0
7,20,0.0,0.0,1.0,0
7,20,0.2,0.0,1.0,0
7,20,0.5,0.0,1.0,0
7,20,0.8,0.0,1.0,0
7,30,0.0,0.0,1.0,0
7,30,0.2,0.0,1.0,0
7,30,0.5,0.0,1.0,0
7,30,0.8,0.0,1.0,0
7,60,0.0,0.0,1.0,0
7,60,0.2,0.0,1.0,0
7,60,0.5,0.0,1.0,0
7,60,0.8,0.0,1.0,0
7,120,0.0,0.0,1.0,0
7,120,0.2,0.0,1.0,0
7,120,0.5,0.0,1.0,0
7,120,0.8,0.0,1.0,0
8,10,0.0,0.0,1.0,0
8,10,0.2,0.0,1.0,0
8,10,0.5,0.0,1.0,0
8,10,0.8,0.0,1.0,0
8,20,0.0,0.0,1.0,0
8,20,0.2,0.0,1.0,0
8,20,0.5,0.0,1.0,0
8,20,0.8,0.0,1.0,0
8,30,0.0,0.0,1.0,0
8,30,0.2,0.0,1.0,0
8,30,0.5,0.0,1.0,0
8,30,0.8,0.0,1.0,0
8,60,0.0,0.0,1.0,0
8,60,0.2,0.0,1.0,0
8,60,0.5,0.0,1.0,0
8,60,0.8,0.0,1.0,0
8,120,0.0,0.0,1.0,0
8,120,0.2,0.0,1.0,0
8,120,0.5,0.0,1.0,0
8,120,0.8,0.0,1.0,0
9,10,0.0,0.0,1.0,0
9,10,0.2,0.0,1.0,0
9,10,0.5,0.0,1.0,0
9,10,0.8,0.0,1.0,0
9,20,0.0,0.0,1.0,0
9,20,0.2,0.0,1.0,0
9,20,0.5,0.0,1.0,0
9,20,0.8,0.0,1.0,0
9,30,0.0,0.0,1.0,0
9,30,0.2,0.0,1.0,0
9,30,0.5,0.0,1.0,0
9,30,0.8,0.0,1.0,0
9,60,0.0,0.0,1.0,0
9,60,0.2,0.0,1.0,0
9,60,0.5,0.0,1.0,0
9,60,0.8,0.0,0.0,0
9,120,0.0,0.0,1.0,0
9,120,0.2,0.0,1.0,0
9,120,0.5,0.0,1.0,0
9,120,0.8,0.0,1.0,0
10,10,0.0,0.0,1.0,0
10,10,0.2,0.0,1.0,0
10,10,0.5,0.0,1.0,0
10,10,0.8,0.0,1.0,0
10,20,0.0,0.0,1.0,0
10,20,0.2,0.0,1.0,0
10,20,0.5,0.0,1.0,0
10,20,0.8,0.0,1.0,0
10,30,0.0,0.0,1.0,0
10,30,0.2,0.0,1.0,0
10,30,0.5,0.0,1.0,0
10,30,0.8,0.0,1.0,0
10,60,0.0,0.0,1.0,0
10,60,0.2,0.0,1.0,0
10,60,0.5,0.0,1.0,0
10,60,0.8,0.0,1.0,0
10,120,0.0,0.0,1.0,0
10,120,0.2,0.0,1.0,0
10,120,0.5,0.0,1.0,0
10,120,0.8,0.0,1.0,0
11,10,0.0,0.0,1.0,0
11,10,0.2,0.0,1.0,0
11,10,0.5,0.0,1.0,0
11,10,0.8,0.0,1.0,0
11,20,0.0,0.0,1.0,0
11,20,0.2,0.0,1.0,0
11,20,0.5,0.0,1.0,0
11,20,0.8,0.0,1.0,0
11,30,0.0,0.0,1.0,0
11,30,0.2,0.0,1.0,0
11,30,0.5,0.0,1.0,0
11,30,0.8,0.0,1.0,0
11,60,0.0,0.0,1.0,0
11,60,0.2,0.0,1.0,0
11,60,0.5,0.0,1.0,0
11,60,0.8,0.0,1.0,0
